iter	Passed	Remaining
410	1068	1530
411	1069	1527
412	1071	1523
413	1073	1519
414	1075	1515
415	1077	1512
416	1078	1508
417	1080	1504
418	1082	1501
419	1084	1497
420	1086	1493
421	1087	1490
422	1089	1486
423	1091	1482
424	1092	1478
425	1094	1474
426	1096	1471
427	1098	1467
428	1100	1464
429	1101	1460
430	1103	1456
431	1105	1452
432	1106	1449
433	1108	1445
434	1110	1441
435	1111	1438
436	1114	1435
437	1116	1432
438	1118	1429
439	1120	1426
440	1122	1422
441	1124	1419
442	1125	1415
443	1127	1411
444	1129	1408
445	1131	1405
446	1133	1402
447	1134	1398
448	1136	1394
449	1137	1390
450	1139	1387
451	1141	1383
452	1142	1379
453	1144	1376
454	1146	1373
455	1148	1369
456	1149	1366
457	1151	1362
458	1153	1359
459	1155	1355
460	1156	1352
461	1158	1348
462	1159	1345
463	1162	1343
464	1164	1339
465	1166	1336
466	1168	1333
467	1169	1329
468	1171	1326
469	1173	1323
470	1174	1319
471	1176	1316
472	1179	1313
473	1180	1310
474	1182	1307
475	1184	1303
476	1186	1300
477	1187	1297
478	1189	1293
479	1191	1290
480	1192	1287
481	1195	1284
482	1196	1280
483	1198	1277
484	1200	1274
485	1201	1271
486	1203	1267
487	1204	1264
488	1206	1260
489	1208	1257
490	1210	1254
491	1212	1251
492	1213	1248
493	1215	1244
494	1217	1241
495	1218	1238
496	1220	1235
497	1222	1232
498	1224	1229
499	1226	1226
500	1227	1223
501	1229	1219
502	1231	1216
503	1232	1213
504	1234	1210
505	1236	1207
506	1238	1203
507	1239	1200
508	1241	1197
509	1243	1194
510	1245	1191
511	1246	1188
512	1248	1185
513	1250	1182
514	1252	1179
515	1254	1176
516	1255	1173
517	1257	1170
518	1259	1167
519	1261	1164
520	1263	1161
521	1264	1158
522	1266	1155
523	1268	1152
524	1270	1149
525	1271	1145
526	1273	1143
527	1275	1140
528	1277	1137
529	1279	1134
530	1280	1131
531	1282	1128
532	1284	1125
533	1285	1122
534	1287	1119
535	1289	1115
536	1291	1113
537	1292	1110
538	1294	1107
539	1296	1104
540	1297	1101
541	1299	1098
542	1301	1095
543	1302	1092
544	1304	1089
545	1306	1086
546	1308	1083
547	1310	1080
548	1312	1077
549	1313	1074
550	1315	1071
551	1317	1069
552	1318	1066
553	1320	1063
554	1323	1060
555	1324	1058
556	1326	1055
557	1328	1052
558	1330	1049
559	1332	1046
560	1333	1043
561	1335	1040
562	1337	1038
563	1339	1035
564	1341	1032
565	1343	1029
566	1344	1026
567	1346	1024
568	1348	1021
569	1349	1018
570	1351	1015
571	1353	1012
572	1355	1010
573	1357	1007
574	1358	1004
575	1360	1001
576	1361	998
577	1363	995
578	1365	992
579	1366	989
580	1368	986
581	1370	984
582	1372	981
583	1373	978
584	1375	975
585	1377	973
586	1379	970
587	1381	968
588	1383	965
589	1385	963
590	1387	960
591	1389	957
592	1392	955
593	1394	952
594	1395	950
595	1397	947
596	1400	945
597	1402	942
598	1404	940
599	1406	937
600	1408	935
601	1410	932
602	1412	929
603	1414	927
604	1416	924
605	1419	922
606	1421	920
607	1423	917
608	1425	915
609	1427	912
610	1429	910
611	1431	907
612	1434	905
613	1436	902
614	1438	900
615	1440	897
616	1442	895
617	1444	892
618	1445	889
619	1447	887
620	1449	884
621	1451	881
622	1452	879
623	1454	876
624	1456	873
625	1457	870
626	1459	868
627	1460	865
628	1462	862
629	1463	859
630	1465	857
631	1467	854
632	1469	851
633	1470	849
634	1472	846
635	1473	843
636	1475	840
637	1477	838
638	1478	835
639	1480	832
640	1482	830
641	1483	827
642	1485	824
643	1487	822
644	1488	819
645	1490	816
646	1491	813
647	1493	811
648	1495	808
649	1496	806
650	1498	803
651	1500	800
652	1501	798
653	1503	795
654	1505	792
655	1506	790
656	1508	787
657	1509	784
658	1512	782
659	1513	779
660	1516	777
661	1518	775
662	1521	773
663	1523	771
664	1526	768
665	1528	766
666	1531	764
667	1534	762
668	1536	760
669	1539	758
670	1541	755
671	1544	753
672	1547	751
673	1550	749
674	1552	747
675	1554	745
676	1557	742
677	1559	740
678	1562	738
679	1564	736
680	1567	734
681	1569	731
682	1572	729
683	1575	727
684	1577	725
685	1580	723
686	1583	721
687	1585	718
688	1587	716
689	1589	714
690	1591	711
691	1593	709
692	1595	706
693	1597	704
694	1598	701
695	1600	699
696	1602	696
697	1604	694
698	1605	691
699	1607	688
700	1608	686
701	1610	683
702	1612	681
703	1613	678
704	1615	675
705	1617	673
706	1618	670
707	1620	668
708	1621	665
709	1623	663
710	1625	660
711	1627	658
712	1629	655
713	1630	653
714	1632	650
715	1634	648
716	1636	646
717	1638	643
718	1640	641
719	1642	638
720	1644	636
721	1646	634
722	1648	631
723	1650	629
724	1652	626
725	1654	624
726	1656	622
727	1659	619
728	1660	617
729	1662	615
730	1664	612
731	1666	610
732	1668	607
733	1670	605
734	1672	603
735	1675	600
736	1677	598
737	1679	596
738	1680	593
739	1682	591
740	1684	588
741	1686	586
742	1688	584
743	1690	581
744	1692	579
745	1694	576
746	1695	574
747	1697	571
748	1699	569
749	1701	567
750	1704	565
751	1706	562
752	1709	560
753	1712	558
754	1714	556
755	1716	554
756	1719	551
757	1721	549
758	1724	547
759	1726	545
760	1729	543
761	1731	540
762	1734	538
763	1736	536
764	1738	534
765	1740	531
766	1744	529
767	1746	527
768	1749	525
769	1751	523
770	1753	520
771	1756	518
772	1758	516
773	1761	514
774	1763	511
775	1765	509
776	1767	507
777	1769	504
778	1771	502
779	1773	500
780	1775	497
781	1776	495
782	1778	492
783	1780	490
784	1781	488
785	1783	485
786	1784	483
787	1786	480
788	1788	478
789	1789	475
790	1791	473
791	1793	470
792	1794	468
793	1796	466
794	1797	463
795	1799	461
796	1801	458
797	1802	456
798	1804	453
799	1806	451
800	1807	449
801	1809	446
802	1811	444
803	1813	442
804	1814	439
805	1816	437
806	1818	434
807	1820	432
808	1821	430
809	1823	427
810	1825	425
811	1827	423
812	1829	420
813	1830	418
814	1832	416
815	1834	413
816	1836	411
817	1838	409
818	1840	406
819	1842	404
820	1844	402
821	1846	399
822	1848	397
823	1850	395
824	1852	392
825	1854	390
826	1855	388
827	1857	385
828	1859	383
829	1861	381
830	1863	379
831	1866	376
832	1868	374
833	1870	372
834	1872	370
835	1874	367
836	1876	365
837	1878	363
838	1880	360
839	1883	358
840	1885	356
841	1886	354
842	1888	351
843	1889	349
844	1891	346
845	1893	344
846	1895	342
847	1897	340
848	1899	337
849	1901	335
850	1904	333
851	1907	331
852	1909	329
853	1911	326
854	1914	324
855	1916	322
856	1919	320
857	1921	318
858	1924	315
859	1926	313
860	1929	311
861	1931	309
862	1934	307
863	1936	304
864	1939	302
865	1941	300
866	1944	298
867	1946	296
868	1949	293
869	1951	291
870	1954	289
871	1956	287
872	1959	285
873	1961	282
874	1964	280
875	1966	278
876	1968	276
877	1971	273
878	1973	271
879	1975	269
880	1977	267
881	1979	264
882	1981	262
883	1983	260
884	1985	258
885	1987	255
886	1988	253
887	1990	251
888	1992	248
889	1993	246
890	1995	244
891	1997	241
892	1998	239
893	2000	237
894	2002	234
895	2003	232
896	2005	230
897	2006	227
898	2008	225
899	2009	223
900	2011	221
901	2013	218
902	2014	216
903	2016	214
904	2018	211
905	2019	209
906	2021	207
907	2023	204
908	2024	202
909	2026	200
910	2028	198
911	2029	195
912	2031	193
913	2033	191
914	2034	189
915	2037	186
916	2039	184
917	2042	182
918	2045	180
919	2047	178
920	2049	175
921	2052	173
922	2054	171
923	2057	169
924	2060	167
925	2062	164
926	2065	162
927	2067	160
928	2070	158
929	2072	156
930	2075	153
931	2077	151
932	2080	149
933	2082	147
934	2085	144
935	2087	142
936	2090	140
937	2092	138
938	2095	136
939	2097	133
940	2100	131
941	2102	129
942	2105	127
943	2107	125
944	2109	122
945	2111	120
946	2113	118
947	2115	116
948	2116	113
949	2118	111
950	2120	109
951	2122	107
952	2124	104
953	2125	102
954	2127	100
955	2129	97
956	2130	95
957	2132	93
958	2134	91
959	2136	89
960	2137	86
961	2139	84
962	2140	82
963	2142	80
964	2143	77
965	2145	75
966	2147	73
967	2148	71
968	2150	68
969	2152	66
970	2153	64
971	2155	62
972	2157	59
973	2159	57
974	2160	55
975	2162	53
976	2163	50
977	2165	48
978	2167	46
979	2168	44
980	2170	42
981	2171	39
982	2173	37
983	2175	35
984	2177	33
985	2178	30
986	2180	28
987	2182	26
988	2183	24
989	2185	22
990	2187	19
991	2188	17
992	2190	15
993	2191	13
994	2193	11
995	2195	8
996	2197	6
997	2198	4
998	2200	2
999	2201	0
